"Borough","NTAName","SiteName","SiteAddr","Hosted_By","Open_Month","Day_Hours","Notes","Website","BoroCD","CouncilDis","ct2010","BBL","BIN","Latitude","Longitude","PolicePrec","Object.ID","Location.Point","App.Android","App.iOS","X.Assembly.District","X.Congress.District","DSNY.District","X.DSNY.Section","DSNY.Zone","Senate.District"
"Brooklyn","Greenpoint","North Brooklyn Compost","Russell Street &, Nassau Ave, Brooklyn, NY 11222","North Brooklyn Compost","Year Round","Sunday (Start Time: 10:00 AM - End Time:  1:00 PM)","","https://www.instagram.com/nbkcompost/?hl=en",301,33,3059100,NA,NA,40.724493,-73.94375,94,60849,"POINT (-73.94375 40.724493)","","",50,7,"BKN01","BKN013","BKN",59
"Brooklyn","Kensington","Kensington Food Scrap Drop-off","McDonald Ave & Albemarle Rd","GrowNYC","Year Round","Saturday (Start Time: 8:30 AM - End Time:  11:30 AM)","No meat, bones, or dairy.","grownyc.org/compost",312,39,3049600,NA,NA,40.64496,-73.98016,66,60867,"POINT (-73.98016 40.64496)","","",44,9,"BKS12","BKS125","BKS",17
"Queens","East Elmhurst","McIntosh Neighborhood Assoc.","25-16 McIntosh St, East Elmhurst, NY, 11369","","April - November","Every 3rd Saturday of the month (Start Time: 10:00 AM - End Time:  12:00 PM)","","https://bqlt.org/garden/mcintosh-neighborhood-garden",403,21,4036700,NA,NA,40.7640828,-73.8695398,115,60866,"POINT (-73.8695398 40.7640828)","","",35,14,"QW03","QW031","QW",13
"Manhattan","Hamilton Heights-Sugar Hill","Frank White Memorial Garden","506 West 143rd Street, New York, NY 10031","Brotherhood/Sister Sol","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","Garden staff will be available for questions or concerns from 10am-6pm.","www.brotherhood-sistersol.org",109,7,1022900,NA,NA,40.824235,-73.94983,30,60502,"POINT (-73.94983 40.824235)","","",71,13,"MN09","MN093","MN",30
"Brooklyn","East New York (North)","East New York Farms: Concerned Residents of Barbey Street Community Garden","351 Barbey St, Brooklyn, NY 11207","East New York Farms","March - November","24/7 (Start Time: 24/7 - End Time:  24/7)","","ucceny.org/enyf-old/compost/",305,42,3115000,NA,NA,40.6742335,-73.8878004,75,60839,"POINT (-73.8878004 40.6742335)","","",54,8,"BKN05","BKN051","BKN",19
"Brooklyn","East Flatbush-Erasmus","Newkirk Ave - Little Haiti Food Scrap Drop-off Site","Newkirk Ave & Nostrand Ave","GrowNYC","Year Round","Wednesdays (Start Time: 9:30 AM - End Time:  1:30 PM)","","grownyc.org/compost",317,45,3082800,NA,NA,40.6400446,-73.9482956,67,60877,"POINT (-73.9482956 40.6400446)","","",42,9,"BKN17","BKN175","BKN",21
"Manhattan","Tribeca-Civic Center","Hudson River Park's Pier 25 at N. Moore St.","Pier 25 at N. Moore St. near kid's playground","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",101,1,1003900,NA,NA,40.7202214,-74.0128434,1,60547,"POINT (-74.0128434 40.7202214)","","",66,10,"MN01","MN013","MN",27
"Brooklyn","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","Gowanus Salt Lot","2 2nd Ave, Brooklyn, NY 11215","NYC Compost Project Hosted by Big Reuse","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","https://www.bigreuse.org/service/compost/",306,39,3011902,NA,NA,40.67541,-73.99128,78,60448,"POINT (-73.99128 40.67541)","","",52,10,"BKS06","BKS064","BKS",26
"Brooklyn","Coney Island-Sea Gate","PS 90 Coney Island","2840 W 12th Street, Brooklyn, NY 11224","PS 90 Coney Island","Year Round","Wednesday (Start Time: 7:30 AM - End Time:  10:30 AM)","","",313,47,3035000,NA,NA,40.57825446,-73.97970298,60,60871,"POINT (-73.97970298 40.57825446)","","",46,8,"BKS13","BKS132","BKS",23
"Bronx","Pelham Parkway-Van Nest","Bronx Park East Farmers Market","2222 Bronx Park East, Bronx, NY, 10462","Uptown & Boogie Healthy Project","June 25 - November 12","Sundays (Start Time: 9:00 AM - End Time:  2:00 PM)","Not accepted: meat, bones, or dairy","",211,13,2023000,NA,NA,40.8504801,-73.8679953,49,60845,"POINT (-73.8679953 40.8504801)","","",80,15,"BX11","BX111","BX",33
"Brooklyn","Prospect Lefferts Gardens-Wingate","Maple Street Community Garden","237 Maple St, Brooklyn, NY 11225","Maple Street Community Garden","Year Round","Wednesday and Saturday (Start Time: 10:30 AM - End Time:  12:30 PM)","","www.maplestreetcommunitygarden.com",309,40,3080000,NA,NA,40.66085,-73.95283,71,60834,"POINT (-73.95283 40.66085)","","",43,9,"BKN09","BKN092","BKN",20
"Manhattan","West Village","Hudson River Park's Pier 51 at Horatio St.","Pier 51 at Horatio St. near playground","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",102,3,1007900,NA,NA,40.738228,-74.0104549,6,60575,"POINT (-74.0104549 40.738228)","","",66,10,"MN02","MN023","MN",47
"Queens","Jackson Heights","JH Scraps","35-20 69th Street, Jackson Heights, NY 11372","Volunteers at JH Scraps","Year Round","Saturday (Start Time: 11:00 AM - End Time:  1:00 PM)","","https://www.jhbg.org/2020/07/28/jh-scraps-reopens",402,26,4029100,NA,NA,40.750278,-73.89678,115,60862,"POINT (-73.89678 40.750278)","","",30,6,"QW02","QW021","QW",12
"Bronx","Belmont","Fordham Plaza Food Scrap Drop-off","E Fordham Rd between Webster Ave & Third Ave","GrowNYC","Year Round","Friday (Start Time: 8:00 AM - End Time:  11:30 AM)","No meat, bones, or dairy","grownyc.org/compost",206,15,2039700,NA,NA,40.8611153,-73.8900366,48,60785,"POINT (-73.8900366 40.8611153)","","",78,15,"BX06","BX061","BX",33
"Manhattan","Midtown South-Flatiron-Union Square","**Open on Mon 11/21, Tue 11/22, Wed 11/23, Fri 11/25, Sat 11/26** Union Square Gr","E 17th St & Union Square E, New York, NY","NYC Compost Project Hosted by LES Ecology Center","Year Round","Monday, Wednesday, Friday, Saturday (Start Time: 8:00 AM - End Time:  5:00 PM)","","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/",105,2,1005200,NA,NA,40.73661,-73.9893,13,60653,"POINT (-73.9893 40.73661)","","",66,12,"MN05","MN051","MN",28
"Brooklyn","Bedford-Stuyvesant (East)","Bed Stuy Fresh Food Box","Decatur St and Lewis Ave","GrowNYC","Year Round","Saturday (Start Time: 11:00 AM - End Time:  3:00 PM)","","grownyc.org/compost",303,36,3027300,NA,NA,40.68133,-73.93481,81,60377,"POINT (-73.93481 40.68133)","","",56,8,"BKN03","BKN033","BKN",25
"Brooklyn","Sunset Park (Central)","7th Ave Sunset Park Greenmarket","7th Ave & 44th St","GrowNYC","Year Round","Saturday (Start Time: 8:00 AM - End Time:  12:00 PM)","No meat, bones, or dairy.","grownyc.org/compost",307,38,3008600,NA,NA,40.646152,-74.002213,72,60807,"POINT (-74.002213 40.646152)","","",51,10,"BKS07","BKS072","BKS",17
"Manhattan","Washington Heights (South)","Morris-Jumel Community Garden","457 West 162nd Street","Morris-Jumel Community Garden compost volunteers","Year Round","Saturday and Sunday (Start Time: 12:00 PM - End Time:  5:00 PM)","Please bring your food scraps to the “Compost Here” bin at the back of the garden Sat-Sun 12-5 and whenever the garden gate is open. We will have brown bins out on the sidewalk on other days and times when we have capacity to haul these food scraps to ou","",112,10,1024301,NA,NA,40.83593121,-73.93919065,33,60538,"POINT (-73.93919065 40.83593121)","","",72,13,"MN12","MN121","MN",31
"Staten Island","Tompkinsville-Stapleton-Clifton-Fox Hills","Staten Island Urban Center","208 Bay Street","Staten Island Urban Center","Year Round","Saturday (Start Time: 11:00 AM - End Time:  1:30 PM)","","www.siurbancenter.org",501,49,5002100,NA,NA,40.63692705,-74.07670907,120,60510,"POINT (-74.07670907 40.63692705)","","",61,11,"SI01","SI011","SI",23
"Manhattan","East Harlem (North)","Pleasant Village Community Garden","Along gates on the southside of 119th Street between Pleasant Avenue and FDR Drive","Pleasant Village Community Garden","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","http://facebook.com/pleasantvillagecommunitygarden",111,8,1017800,NA,NA,40.796764,-73.931341,25,60744,"POINT (-73.931341 40.796764)","","",68,13,"MN11","MN112","MN",29
"Brooklyn","Flatbush (West)-Ditmas Park-Parkville","Cortelyou Greenmarket","Cortelyou Rd and Rugby Rd","GrowNYC","Year Round","Sunday (Start Time: 9:00 AM - End Time:  1:00 PM)","","grownyc.org/compost",314,40,3152200,NA,NA,40.641194,-73.965472,70,60830,"POINT (-73.965472 40.641194)","","",44,9,"BKS14","BKS142","BKS",21
"Brooklyn","Ocean Hill","Farmers Garden","1899 Bergen Street","Volunteers at Farmers Garden","Seasonal","Thursday, Saturday, Sunday (Start Time: Thursday 1:00 PM, Saturday 11:00 AM, Sunday 11:00 AM - End Time:  Thursday 4:00 PM, Saturday 3:00 PM, Sunday 3:00 PM)","","",316,41,3030300,3014460063,3000000,40.67465,-73.91823,73,60802,"POINT (-73.91823 40.67465)","","",55,8,"BKN16","BKN161","BKN",25
"Bronx","Tremont","La Familia Verde Farmer's Market","Tremont Ave between LaFontaine and Arthur Ave (Tremont Park)","Volunteers at La Familia Verde Farmers Market","July- November 16","Tuesday (Start Time: 8:00 AM - End Time:  2:00 PM)","Visit the Center Farm stand to drop off your food scraps.","http://www.lafamiliaverde.org/",206,15,2039500,NA,NA,40.846468,-73.894107,48,60775,"POINT (-73.894107 40.846468)","","",86,15,"BX06","BX062","BX",32
"Queens","Rockaway Beach-Arverne-Edgemere","Far Rock Urban Agro-Education Center","45-55 Beach Channel Dr, Far Rockaway, NY, 11691","","July - November","Tuesday and Thursday (Start Time: 10:00 AM - End Time:  2:00 PM)","","",414,31,4097204,NA,NA,40.59549,-73.77648,101,60890,"POINT (-73.77648 40.59549)","","",31,5,"QE14","QE142","QE",10
"Bronx","Mott Haven-Port Morris","Padre Plaza Community Garden","541 E 139th St, Bronx, NY 10454","Padre Plaza Community Garden","Year Round","Monday and Wednesday (Start Time: 12:00 PM - End Time:  5:00 PM)","","",201,8,2003900,NA,NA,40.80796868,-73.917581,40,60817,"POINT (-73.917581 40.80796868)","","",84,15,"BX01","BX012","BX",29
"Manhattan","Chelsea-Hudson Yards","Hudson River Park Pier 66 at W 26 St","Pier 66 at W 26 St","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",104,3,1009902,NA,NA,40.752222,-74.008278,10,60685,"POINT (-74.008278 40.752222)","","",75,12,"MN04","MN042","MN",47
"Manhattan","East Harlem (North)","Carver Community Garden","242 East 124th","Carver Community Garden","Year Round","Wednesday (Start Time: 10:00 AM - End Time:  1:00 PM)","","",111,8,1019400,NA,NA,40.802223,-73.934723,25,60750,"POINT (-73.934723 40.802223)","","",68,13,"MN11","MN113","MN",30
"Queens","Baisley Park","50 Cent Community Garden","117-15 165th St. Queens, New York, 11434","50 Cent Community Garden","April - November","Saturdays (Start Time: 11:00 AM - End Time:  1:00 PM)","","",412,28,4028400,NA,NA,40.6846363,-73.7809824,113,60885,"POINT (-73.7809824 40.6846363)","","",32,5,"QE12","QE125","QE",10
"Brooklyn","Flatbush (West)-Ditmas Park-Parkville","Q Gardens","58 E 18th St, Brooklyn, NY 11226","Q Gardens","Year Round","Tuesday, Friday, Saturday, Sunday (Start Time: Tuesday 6:00 PM, Friday - Sunday Dawn - End Time:  Tuesday 8:00 PM. Friday + Saturday all night, Sunday until 4:00PM)","No meat, bones, or dairy.","https://qgardenscf.com/places-to-drop-off-your-compost/",314,40,3050600,NA,NA,40.649778,-73.963194,70,60831,"POINT (-73.963194 40.649778)","","",42,9,"BKS14","BKS141","BKS",21
"Bronx","Throgs Neck-Schuylerville","The Garden at Preston","2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)","Northeast Bronx Farmers Market Project","March - November","Tuesday (Start Time: 4:00 PM - End Time:  7:00 PM)","","https://www.facebook.com/northeastbronxcommunityfarmersmarket/",210,13,2013200,NA,NA,40.8139813,-73.81908033,45,60362,"POINT (-73.81908033 40.8139813)","","",82,14,"BX10","BX103","BX",34
"Brooklyn","Brownsville","Abib Newborn Learning Garden","495 Osborn St, Brooklyn, NY 11212","Volunteers at Abib Newborn Learning Garden","Year Round","Monday, Wednesday, Friday (Start Time: 10:00 AM - End Time:  6:00 PM)","","https://cityparksfoundation.org/learning-gardens/",316,41,3092000,NA,NA,40.65952663,-73.90591,73,60806,"POINT (-73.90591 40.65952663)","","",55,8,"BKN16","BKN161","BKN",19
"Manhattan","The Battery-Governors Island-Ellis Island-Liberty Island","Governors Island Zero Waste Stations","Several locations throughout Governors Island","NYC Compost Project Hosted by Earth Matter NY","Year Round","Whenever the Island is open to the public  (check ferry schedule) (Start Time: Check ferry schedule - End Time:  Check ferry schedule)","","",101,1,1000500,NA,NA,40.691403,-74.019696,1,60557,"POINT (-74.019696 40.691403)","","",61,10,"MN01","","MN",26
"Queens","Jackson Heights","Jackson Heights Greenmarket","79th St and Northern Blvd","GrowNYC","Year Round","Sunday (Start Time: 8:30 AM - End Time:  2:00 PM)","","grownyc.org/compost",403,25,4028500,NA,NA,40.753687,-73.886999,115,60863,"POINT (-73.886999 40.753687)","","",34,6,"QW03","QW032","QW",13
"Queens","Forest Hills","Commonpoint Queens in partnership with The Forest Hills Green Team","NE corner of 67 Rd & 108th Street 67-09 108th St, Forest Hills, NY 11375","Forest Hills Green Team","Year Round","Sunday (Start Time: 10:00 AM - End Time:  1:00 PM)","","commonpointqueens.org",406,29,4074100,NA,NA,40.728415,-73.84711,112,60853,"POINT (-73.84711 40.728415)","","",28,6,"QW06","QW061","QW",14
"Brooklyn","Downtown Brooklyn-DUMBO-Boerum Hill","Vinegar Hill Community Garden","199 York St, Brooklyn, NY 11201","Members of Vinegar Hill Community Garden","Year Round","Sunday (Start Time: 12:30 PM - End Time:  2:00 PM)","","https://groundcycle.org/",302,33,3002100,NA,NA,40.701501,-73.98263,84,60821,"POINT (-73.98263 40.701501)","","",52,10,"BKN02","BKN021","BKN",26
"Brooklyn","Crown Heights (North)","Imani Community Garden","87-91 Schenectady Ave, Brooklyn, NY 11213","Imani Community Garden","Year Round","Wednesday and Saturday (Start Time: Saturday 11:00 AM, Wednesday 8:00 AM - End Time:  Saturday 1:00 PM, Wednesday 10:00 AM)","","https://www.facebook.com/Imani-Garden-168006109999475/",308,36,3030900,NA,NA,40.67623,-73.93295,77,60484,"POINT (-73.93295 40.67623)","","",56,9,"BKN08","BKN083","BKN",20
"Brooklyn","Crown Heights (North)","Crown Heights Franklin Ave Food Scrap Drop-off","Franklin Avenue & Eastern Parkway","GrowNYC","Year Round","Thursday (Start Time: 8:30 AM - End Time:  11:30 AM)","","grownyc.org/compost",308,35,3021900,NA,NA,40.670745,-73.957743,77,60462,"POINT (-73.957743 40.670745)","","",57,9,"BKN08","BKN081","BKN",20
"Queens","Kew Gardens","Kew Gardens Cinemas Park","8105 Lefferts Blvd, Kew Gardens, NY 11415","Kew Gardens CSA, sponsored by Kew Gardens Cinemas","Year Round","Sunday (Start Time: 8:30 AM - End Time:  12:00 PM)","","kewgardenscsa.org",409,29,4013600,NA,NA,40.70888,-73.82917,102,60870,"POINT (-73.82917 40.70888)","","",28,5,"QW09","QW094","QW",14
"Bronx","Highbridge","Target Bronx Community Garden","1024 Woodycrest Avenue","Target Bronx Community Garden","Year Round","Monday (Start Time: 10:00 AM - End Time:  5:00 PM)","Bins at gate during winter months","www.targetbronxcommunitygarden.org",204,16,2018900,NA,NA,40.83316,-73.92728,44,60754,"POINT (-73.92728 40.83316)","","",77,15,"BX04","BX041","BX",29
"Queens","Sunnyside Yards (South)","Sunnyside Greenmarket","Skillman Ave between 42nd St. and 43rd St.","GrowNYC","Year Round","Saturday (Start Time: 9:00 AM - End Time:  1:00 PM)","","grownyc.org/compost",402,26,4017101,NA,NA,40.746948,-73.921208,108,60858,"POINT (-73.921208 40.746948)","","",37,7,"QW02","QW022","QW",12
"Bronx","Kingsbridge Heights-Van Cortlandt Village","Kingsbridge Heights Community Center","3101 Kingsbridge Terrace, Bronx NY 10463","Staff at Kingsbridge Heights Community Center","Year Round","Wednesday (Start Time: 12:00 PM - End Time:  2:00 PM)","","www.khcc-nyc.org",208,14,2027700,NA,NA,40.877299,-73.900709,50,60799,"POINT (-73.900709 40.877299)","","",81,13,"BX08","BX081","BX",31
"Brooklyn","Williamsburg","McCarren Park Greenmarket","N 12th St and Driggs Ave","GrowNYC","Year Round","Saturday (Start Time: 8:00 AM - End Time:  12:00 PM)","","grownyc.org/compost",301,33,3051900,NA,NA,40.71974,-73.953394,94,60850,"POINT (-73.953394 40.71974)","","",50,7,"BKN01","BKN011","BKN",59
"Manhattan","Harlem (South)","Joseph Daniel Wilson Memorial Garden","219 W 122nd St, New York, NY 10027","Project Harmony","Year Round","Sunday (Start Time: 10:00 AM - End Time:  Dusk)","","https://projectharmonynyc.org/",110,9,1022200,NA,NA,40.8075392,-73.9506789,28,60694,"POINT (-73.9506789 40.8075392)","","",70,13,"MN10","MN101","MN",30
"Queens","Corona","Corona Greenmarket","Roosevelt Ave at 103 Street, Queens","GrowNYC","Year Round","Friday (Start Time: 8:00 AM - End Time:  1:30 PM)","No meat, bones, or dairy","grownyc.org/compost",404,21,4040501,NA,NA,40.749728,-73.862513,110,60826,"POINT (-73.862513 40.749728)","","",39,14,"QW04","QW043","QW",13
"Bronx","Norwood","Museum of Bronx History","3266 Bainbridge Avenue, Bronx, NY 10467","Museum of Bronx History","July - September","Alternating Tuesdays: 7/11, 7/25, 8/8, 8/22, 9/5, 9/19 (Start Time: 11:00 AM - End Time:  3:00 PM)","","https://bronxhistoricalsociety.org/museum",207,11,2042300,NA,NA,40.8774032,-73.8794743,52,60794,"POINT (-73.8794743 40.8774032)","","",81,15,"BX07","BX073","BX",33
"Manhattan","West Village","Hudson River Park's Pier 40 at W. Houston St.","Pier 40 at Houston St. near dog park","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",102,3,1006900,NA,NA,40.7298117,-74.0110087,6,60562,"POINT (-74.0110087 40.7298117)","","",66,10,"MN02","MN021","MN",27
"Queens","Astoria (North)-Ditmars-Steinway","Astoria Pug: Hoyt","Northwest corner of Hoyt Avenue North and 21st Street, in a courtyard that’s officially called SITTING AREA","Astoria Pug","Year Round","Saturday: After 9 AM (Start Time: Varies - End Time:  Varies)","","https://www.instagram.com/astoriapug/?hl=en",401,22,4009500,NA,NA,40.77538,-73.92302,114,60340,"POINT (-73.92302 40.77538)","","",36,14,"QW01","QW011","QW",59
"Queens","Astoria (Central)","Astoria Pug: Most Precious Blood","32-23 36th St, Queens, NY 11106 (inside parking lot)","Astoria Pug","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","https://www.instagram.com/astoriapug/?hl=en",401,22,4005900,NA,NA,40.75914,-73.92146,114,60313,"POINT (-73.92146 40.75914)","","",36,14,"QW01","QW014","QW",59
"Manhattan","West Village","Abingdon Square Greenmarket","W 12th St and 8th Ave","GrowNYC","Year Round","Saturday (Start Time: 8:00 AM - End Time:  2:00 PM)","","grownyc.org/compost",102,3,1007700,NA,NA,40.737472,-74.005095,6,60574,"POINT (-74.005095 40.737472)","","",66,10,"MN02","MN023","MN",27
"Queens","Jamaica","King Manor Museum","150-03 Jamaica Ave, Jamaica, NY 11432","King Manor Museum","Year Round","Friday and Saturday (Start Time: Friday 10 AM; Saturday 9:30 - End Time:  Friday 4:00 PM, Saturday 2:30 PM)","","https://www.kingmanor.org/",412,27,4024000,NA,NA,40.70216,-73.80445,103,60882,"POINT (-73.80445 40.70216)","","",32,5,"QE12","QE121","QE",14
"Manhattan","Hamilton Heights-Sugar Hill","145th St Food Scrap Drop-off","145th St & Edgecombe Ave","GrowNYC","Year Round","Thursday (Start Time: 7:30 AM - End Time:  12:00 PM)","","grownyc.org/compost",110,9,1023100,NA,NA,40.823692,-73.943764,30,60503,"POINT (-73.943764 40.823692)","","",71,13,"MN10","MN104","MN",30
"Brooklyn","East New York (North)","East New York Farms: Nehemiah Ten Community Garden","565 Barbey St, Brooklyn, NY 11207","East New York Farms","Year Round","Sunday from 9am - 3pm; Monday from 6:30pm - 8pm; Tuesday from 6:30pm - 8pm; Friday from 6:30pm - 8pm; Saturday from 8am - 2pm (Start Time: Sunday from 9am - 3pm; Monday from 6:30pm - 8pm; Tu","","ucceny.org/enyf-old/compost/",305,42,3116200,NA,NA,40.6688541,-73.8857006,75,60838,"POINT (-73.8857006 40.6688541)","","",60,8,"BKN05","BKN054","BKN",19
"Brooklyn","The Evergreens Cemetery","Aberdeen Community Garden","91 Aberdeen St, Brooklyn, 11207","BK Rot","Year Round","Sunday (Start Time: 1:00 PM - End Time:  December-February 4:00 PM, March-November 5:00 PM)","","www.bkrot.org",304,37,3040700,NA,NA,40.6840598,-73.9050492,83,60420,"POINT (-73.9050492 40.6840598)","","",54,7,"BKN04","BKN043","BKN",18
"Brooklyn","Dyker Heights","Lief Ericson Park Food Scrap Drop-off Site","Fort Hamilton Pkwy b/t 66 & 67 Sts","GrowNYC","Year Round","Wednesdays (Start Time: 8:30 AM - End Time:  12:30 PM)","","grownyc.org/compost",310,38,3012801,NA,NA,40.62988,-74.010582,68,60814,"POINT (-74.010582 40.62988)","","",49,10,"BKS10","BKS104","BKS",17
"Bronx","Parkchester","Parkchester Greenmarket","Westchester Ave and White Plains Rd.","GrowNYC","Year Round","Friday (Start Time: 8:00 AM - End Time:  12:00 PM)","No meat, bones, or dairy","grownyc.org/compost",209,18,2021602,NA,NA,40.83343,-73.861655,43,60354,"POINT (-73.861655 40.83343)","","",87,14,"BX09","BX093","BX",34
"Manhattan","Upper East Side-Lenox Hill-Roosevelt Island","Roosevelt Island Farmers Market","543 Main St, New York, NY 10044","Haki Compost Collective","Year Round","Saturday (Start Time: 9:00 AM - End Time:  2:00 PM)","","https://www.instagram.com/hakicompost/",108,5,1023803,NA,NA,40.761833,-73.950139,114,60344,"POINT (-73.950139 40.761833)","","",76,12,"MN08","","MN",28
"Manhattan","Chelsea-Hudson Yards","Hudson River Park's Chelsea Waterside Park at W. 23rd St.","Chelsea Waterside Park near the playground","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",104,3,1009901,NA,NA,40.7489842,-74.0071142,10,60679,"POINT (-74.0071142 40.7489842)","","",75,12,"MN04","MN042","MN",47
"Manhattan","Hamilton Heights-Sugar Hill","Jenny's Garden","699 West 138th Street","Jenny's Garden","Year Round","Sunday (Start Time: 12:00 PM - End Time:  1:00 PM)","Year Round: check social media for open hour updates + November - March only open on Saturday 11-12pm. ""WEATHER PERMITTING! Check IG/FB for weekend updates.  Please DO NOT leave bags of food scraps by gate when the garden is closed.  Remember to remove p","https://www.facebook.com/JennysGardenRiverside",109,7,1022500,NA,NA,40.823225,-73.95617,30,60498,"POINT (-73.95617 40.823225)","","",71,13,"MN09","MN092","MN",30
"Manhattan","Upper West Side (Central)","79th St. Greenmarket","77th Street between Columbus Ave and Central Park West","GrowNYC","Year Round","Sunday (Start Time: 9:00 AM - End Time:  3:00 PM)","","grownyc.org/compost",107,6,1016500,NA,NA,40.780087,-73.974657,20,60718,"POINT (-73.974657 40.780087)","","",67,12,"MN07","MN072","MN",47
"Queens","Glendale","Glendale Community Garden","74-10 88th St, Glendale, NY 11385","Volunteers at Glendale Community Garden","Year Round","Friday and Saturday (Start Time: 11:00 AM - End Time:  4:00 PM)","","",405,32,4063700,NA,NA,40.707547,-73.864884,104,60878,"POINT (-73.864884 40.707547)","","",28,7,"QW05","QW054","QW",15
"Bronx","Mount Eden-Claremont (West)","New Settlement Community Center","1501 Jerome Ave, Bronx, NY 10452","New Settlement's Community Food Action","Year Round","Thursday, Friday, Saturday (Start Time: Thursday 1:00 PM, Friday 1:00 PM, Saturday 10:30 AM - End Time:  Thursday 5:00 PM, Friday 5:00 PM, Saturday 12:30 PM)","","NewSettlement.org/food",204,16,2020900,NA,NA,40.8432747,-73.9162121,44,60762,"POINT (-73.9162121 40.8432747)","","",77,15,"BX04","BX043","BX",29
"Queens","Queensbridge-Ravenswood-Dutch Kills","Socrates Sculpture Park","Broadway & Vernon Blvd, Queens, NY 11106","Socrates Sculpture Park","Year Round","Every day (Start Time: 9:00 AM - End Time:  Dusk)","","socratessculpturepark.org",401,22,4003700,NA,NA,40.768389,-73.937,114,60322,"POINT (-73.937 40.768389)","","",36,14,"QW01","QW013","QW",59
"Bronx","Mott Haven-Port Morris","Friends of Brook Park Community Garden","494 E 141st St, The Bronx, NY 10454","Volunteers at Friends of Brook Park Community Garden","Year Round","Saturday and Sunday (Start Time: 10:00 AM - End Time:  4:00 PM)","","",201,8,2003900,NA,NA,40.8097074,-73.9185797,40,60818,"POINT (-73.9185797 40.8097074)","","",84,15,"BX01","BX011","BX",29
"Queens","Rockaway Beach-Arverne-Edgemere","Edgemere Farm","385 Beach 45th St, Far Rockaway, NY 11691","Volunteers at Edgemere Farm","Year Round","Wednesday, Thursday, Friday, Saturday (Start Time: 10:00 AM - End Time:  Wednesday-Friday 5:00 PM, Saturday 3:00 PM)","","http://www.edgemerefarm.org/",414,31,4097204,NA,NA,40.595012,-73.7765544,101,60889,"POINT (-73.7765544 40.595012)","","",31,5,"QE14","QE142","QE",10
"Manhattan","Inwood Hill Park","Inwood Greenmarket","Seaman Ave and Isham St (N corner)","GrowNYC","Year Round","Saturday (Start Time: 8:00 AM - End Time:  12:00 PM)","","grownyc.org/compost",112,10,1029700,NA,NA,40.870106,-73.920792,34,60531,"POINT (-73.920792 40.870106)","","",71,13,"MN12","MN124","MN",31
"Manhattan","Chelsea-Hudson Yards","Hudson River Park's Pier 76 at W. 34th St.","Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",104,3,1009903,NA,NA,40.756032,-74.006046,10,60686,"POINT (-74.006046 40.756032)","","",75,12,"MN04","MN042","MN",47
"Manhattan","East Village","Down to Earth Garden (formerly Children's Garden)","546 East 12th St, New York, NY 10009","Down to Earth Garden","Year Round","Tuesday and Sunday (Start Time: Tuesday 1:30 PM, Sunday 12:00 PM - End Time:  Tuesday 4:00 PM, Sunday 4:00 PM)","Keep food scraps and plant material separated. This site accepts meat, fish, and dairy","https://downtoearthgarden.org/",103,2,1002800,NA,NA,40.7281,-73.979,9,60580,"POINT (-73.979 40.7281)","","",74,10,"MN03","MN034","MN",27
"Brooklyn","Flatbush","Flatbush Junction Food Scrap Drop-off","Hillel Pl & Flatbush Ave","GrowNYC","Year Round","Friday (Start Time: 8:30 AM - End Time:  2:30 PM)","No meat, bones, or dairy","grownyc.org/compost",314,45,3077400,NA,NA,40.632583,-73.948111,70,60832,"POINT (-73.948111 40.632583)","","",42,9,"BKS14","BKS143","BKS",21
