"latitude","longitude","waste"
40.6340056498045,-73.9473940327749,97231.8650108219
40.7132413311963,-73.8315181617509,56762.6384977173
40.7900138239614,-73.9778392716464,101514.440062174
40.7510482874658,-73.9714269596062,79399.9648468613
40.7585943337654,-73.9798329653177,113421.243986588
40.7414488227451,-73.9902749305294,88840.7687424972
40.7299136079597,-73.9992027668393,98030.0234259745
40.750928388222,-73.9926649042868,96384.6631140571
40.5323151982579,-74.2300629252496,82998.8521751059
40.7593197622316,-73.9689573035597,68535.851598818
40.8883900737811,-73.9056917344035,103523.033014692
40.7659944943987,-73.9678691175198,67193.8311868289
40.7961038093595,-73.9647613519137,25748.3538229041
40.6044610381891,-73.9988489994844,66869.0598664258
40.5808414505889,-73.9850053177203,83401.367761772
40.7605988356106,-73.952504703159,47068.7322850277
40.748092535417,-73.9872895952364,98323.9024784787
40.7441263286602,-73.8866595888288,97081.3821312717
40.8043651293752,-73.946732362152,100876.791528348
40.8497624190743,-73.844612513587,59073.2863774026
40.7617806742278,-73.9674151157647,69656.3985954434
40.734417272048,-73.9887221083678,67132.455225731
40.7093004829155,-74.0103918345927,72545.6986307306
40.7070306372401,-74.0140426108893,46080.9460666261
40.6361298644616,-73.9496469007979,102690.248403074
40.7825558097837,-73.8319041410983,58974.9067448013
40.7486233396525,-73.9863793892958,71832.781420149
40.7659210004898,-73.9810022081216,62952.101972386
40.7164544049148,-74.0113169248557,86195.1893724401
40.7687509855899,-73.9567474680382,47855.9062070355
40.780028484475,-73.9460433199748,111914.839429413
40.7271825323405,-74.002843864022,86241.5189477543
40.7233302778447,-74.0024880712573,55399.9748017063
40.5766477478351,-73.9603370841937,108268.593314488
40.7526273418872,-73.9972876850262,121015.047864358
40.7053062170169,-74.0076850912943,52955.7215810645
40.7633045866219,-73.9729759621516,92806.7108630277
40.7514758276339,-73.9740544679551,75052.1271215279
40.7321520229325,-74.0003309661676,66905.2056478075
40.7569348855947,-73.9720863527466,69170.7217903566
40.7814293006672,-73.9801929088582,96700.5696021848
40.7186000899927,-73.9893724350267,83837.5855476707
40.7534732661687,-73.9801171990129,123016.949070724
40.7629318137345,-73.9803212554357,89599.0852183314
40.7531724039757,-73.9293794821904,89308.2963134828
40.7412487842452,-73.9898192469878,68170.5522276267
40.7770255901124,-73.957596635899,60256.8184086849
40.7463231085293,-73.9182785015047,32919.2942087114
40.7093078534444,-74.0085643917438,69919.7845145715
40.8072271282863,-73.9551346723927,65928.4386514014
40.7231589567316,-73.7968386141897,48387.6597233567
40.8180619913077,-73.9285996350589,27234.7256016724
40.7474675561138,-73.9939089571282,62186.5555498092
40.7150652480743,-74.0108444569134,85493.087978241
40.7538645188518,-73.9736642194751,53212.9282731972
40.7593154611137,-73.9769859429049,66306.4604555511
40.7351079672805,-73.985296417257,90153.5945897579
40.762096780031,-73.9879687703936,92020.6738399246
40.7375860549411,-73.9912163351852,57190.7382556424
40.7624792507704,-73.9787356406641,94204.5772880712
40.803960660109,-73.9632753584976,100985.667387722
40.8074802938934,-73.9654112251964,34958.0336957948
40.7463762023863,-73.9906705441138,37975.9599568974
40.7546419724339,-73.9934825324519,123951.155800785
40.7676913814573,-73.978989265525,45372.3142339885
40.7650066660746,-73.9711052641383,62918.4038057681
40.78557617622,-73.9797619784299,88937.3066040257
40.7246111918849,-73.998434321748,69134.7481385778
40.7818249776444,-73.9781570157877,82951.7065761492
40.7793920431909,-73.9789239169808,35061.6670536726
40.7720302782362,-73.9560933119329,66097.7806131218
40.7657536177053,-73.9625089962259,39832.9676017042
40.7620006679158,-73.9880292900397,77876.1566248318
40.6103289762337,-74.1285545606955,76822.865521473
40.7601791433963,-73.9682942840403,51530.8743810229
40.6897110347434,-73.9910475259685,74808.5897661161
40.7652578235402,-73.986220656568,119297.242437023
40.7499166404017,-73.9901041547687,87509.0300667857
40.7490943836845,-73.9755291375077,84356.9284159355
40.7580276415718,-73.918487816172,117168.541898271
40.7213557973204,-74.0026251725445,76025.351382638
40.7876557354532,-73.9574330673247,112298.125578138
40.7118200994524,-74.005181264102,107958.519259429
40.7578415504308,-73.9916545009423,101183.05830232
40.5842354877175,-74.1666894126039,107963.323519212
40.7813639168918,-73.9533174995981,62968.5420178313
40.7485433814413,-73.9780794367834,80796.5688114623
40.7512175859525,-73.9715771333055,84433.6935411018
